side,role_a,role_b,weight
offense,OL,OL,1.00
offense,OL,QB,0.80
offense,QB,OL,0.80
offense,QB,WR,0.85
offense,WR,QB,0.85
offense,QB,TE,0.80
offense,TE,QB,0.80
offense,QB,RB,0.70
offense,RB,QB,0.70
offense,WR,TE,0.50
offense,TE,WR,0.50
offense,WR,WR,0.40
offense,TE,OL,0.70
offense,OL,TE,0.70
offense,RB,OL,0.70
offense,OL,RB,0.70
offense,RB,TE,0.55
offense,TE,RB,0.55
offense,RB,WR,0.40
offense,WR,RB,0.40
defense,DL,DL,1.00
defense,DL,LB,0.85
defense,LB,DL,0.85
defense,LB,LB,0.80
defense,CB,S,0.80
defense,S,CB,0.80
defense,CB,CB,0.60
defense,S,S,0.60
defense,DL,CB,0.50
defense,CB,DL,0.50
defense,LB,CB,0.55
defense,CB,LB,0.55
defense,LB,S,0.65
defense,S,LB,0.65
defense,DL,S,0.55
defense,S,DL,0.55
